GeneID	Symbol	Description	log2(fold change)	-log10(Pvalue)
148534	TLCD4	TLC domain containing 4	4.609	8.25
100527978	TLCD4-RWDD3	TLCD4-RWDD3 readthrough	1.458	3.351
58155	PTBP2	polypyrimidine tract binding protein 2	1.581	3.949
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1.823	12.406
163786	SASS6	SAS-6 centriolar assembly protein	1.063	2.534
8556	CDC14A	cell division cycle 14A	0.428	1.357
148867	SLC30A7	solute carrier family 30 member 7	-0.433	1.974
55170	PRMT6	protein arginine methyltransferase 6	-1.9	3.358
10451	VAV3	vav guanine nucleotide exchange factor 3	0.59	3.004
113802	HENMT1	HEN methyltransferase 1	0.795	2.089
29899	GPSM2	G protein signaling modulator 2	1.49	2.553
22911	WDR47	WD repeat domain 47	0.611	2.125
6884	TAF13	TATA-box binding protein associated factor 13	0.855	1.831
57535	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	2.02	1.327
6301	SARS1	seryl-tRNA synthetase 1	-0.72	4.897
1952	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	-2.007	1.74
6272	SORT1	sortilin 1	1.056	4.559
5686	PSMA5	proteasome 20S subunit alpha 5	-0.804	6.695
284613	CYB561D1	cytochrome b561 family member D1	0.718	3.251
2773	GNAI3	G protein subunit alpha i3	0.817	3.087
1435	CSF1	colony stimulating factor 1	1.9	2.77
85369	STRIP1	striatin interacting protein 1	0.555	1.336
64783	RBM15	RNA binding motif protein 15	0.565	1.34
9122	SLC16A4	solute carrier family 16 member 4	1.284	2.792
10542	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	1.051	7.156
3738	KCNA3	potassium voltage-gated channel subfamily A member 3	-2.59	4.063
128338	DRAM2	DNA damage regulated autophagy modulator 2	-1.107	3.689
10390	CEPT1	choline/ethanolamine phosphotransferase 1	-0.578	2.087
79961	DENND2D	DENN domain containing 2D	0.631	2.704
128346	C1orf162	chromosome 1 open reading frame 162	-0.549	1.933
100129269	LINC01160	long intergenic non-protein coding RNA 1160	1.16	1.892
55924	INKA2	inka box actin regulator 2	1.203	1.665
55917	CTTNBP2NL	CTTNBP2 N-terminal like	-2.409	5.953
54879	ST7L	suppression of tumorigenicity 7 like	0.681	2.604
829	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	0.546	1.323
4343	MOV10	Mov10 RISC complex RNA helicase	-2.575	12.515
389	RHOC	ras homolog family member C	-2.815	5.286
6566	SLC16A1	solute carrier family 16 member 1	-2.706	5.46
9860	LRIG2	leucine rich repeats and immunoglobulin like domains 2	-0.609	1.888
10745	PHTF1	putative homeodomain transcription factor 1	1.234	8.09
54665	RSBN1	round spermatid basic protein 1	1.887	7.884
100287722	AP4B1-AS1	AP4B1 antisense RNA 1	1.184	3.849
26191	PTPN22	protein tyrosine phosphatase non-receptor type 22	1.847	5.094
440603	BCL2L15	BCL2 like 15	3.759	4.581
10717	AP4B1	adaptor related protein complex 4 subunit beta 1	0.945	4.713
204851	HIPK1	homeodomain interacting protein kinase 1	1.023	4.491
163259	DENND2C	DENN domain containing 2C	3.272	5.635
7252	TSHB	thyroid stimulating hormone subunit beta	3.205	2.144
10100	TSPAN2	tetraspanin 2	3.847	8.72
105378916	LINC01765	long intergenic non-protein coding RNA 1765	3.142	4.162
101928977	LOC101928977	uncharacterized LOC101928977	1.936	2.219
55356	SLC22A15	solute carrier family 22 member 15	1.556	5.599
126868	MAB21L3	mab-21 like 3	2.543	2.35
476	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	-1.144	9.613
84852	ATP1A1-AS1	ATP1A1 antisense RNA 1	-1.071	10.478
914	CD2	CD2 molecule	-3.216	2.829
5738	PTGFRN	prostaglandin F2 receptor inhibitor	-2.278	3.718
10905	MAN1A2	mannosidase alpha class 1A member 2	-0.698	2.217
54855	TENT5C	terminal nucleotidyltransferase 5C	2.232	5.633
10885	WDR3	WD repeat domain 3	-1.235	4.466
200162	SPAG17	sperm associated antigen 17	-1.627	1.323
10352	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	-1.315	4.255
90874	ZNF697	zinc finger protein 697	-1.511	1.406
4853	NOTCH2	notch receptor 2	-1.675	4.726
105378954	LOC105378954		0.845	3.038
728841	NBPF8	NBPF member 8	-1.284	2.704
100996724	PDE4DIPP2	PDE4DIP pseudogene 2	-0.883	2.064
101929796	NOTCH2NLR	notch 2 N-terminal like R	-1.654	1.816
101060684	NBPF26	NBPF member 26	-1.628	2.331
728855	LINC00623	long intergenic non-protein coding RNA 623	1.029	4.372
105369199	LOC105369199	NBPF member 6 pseudogene	2.265	1.894
653464	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C	-0.812	2.956
107985193	LOC107985193	uncharacterized LOC107985193	-1.473	2.426
647121	EMBP1	embigin pseudogene 1	2.556	10.682
199882	PDE4DIPP3	PDE4DIP pseudogene 3	2.099	1.425
440686	H3-7	H3.7 histone (putative)	-1.503	1.31
100996712	SRGAP2D	SLIT-ROBO Rho GTPase activating protein 2D (pseudogene)	-0.796	1.843
284565	NBPF15	NBPF member 15	-1.385	6.118
647135	SRGAP2B	SLIT-ROBO Rho GTPase activating protein 2B	-1.022	3.012
107985595	LOC107985595	uncharacterized LOC107985595	-1.607	2.605
100288142	NBPF20	NBPF member 20	-1.186	5.228
105371312	LOC105371312	uncharacterized LOC105371312	-1.281	1.751
101929780	NBPF25P	NBPF member 25, pseudogene	-1.086	3.775
10623	POLR3C	RNA polymerase III subunit C	-0.436	2.012
10401	PIAS3	protein inhibitor of activated STAT 3	-0.771	1.494
10628	TXNIP	thioredoxin interacting protein	-1.422	9.505
100132406	NBPF10	NBPF member 10	-1.318	3.19
388677	NOTCH2NLA	notch 2 N-terminal like A	-1.575	5.432
170688	NUDT4P2	nudix hydrolase 4 pseudogene 2	1.106	3.259
102724364	SEC22B4P	SEC22 homolog B4, pseudogene	1.325	4.195
100996756	LOC100996756	uncharacterized LOC100996756	1.935	8.738
149013	NBPF12	NBPF member 12	-0.536	2.398
9557	CHD1L	chromodomain helicase DNA binding protein 1 like	0.522	2.423
